Text,WhoSaid,Context,SourceType,SourceKey
"The first time I ever heard the Crickets, I was hooked. Their harmonies, just the sheer atmosphere they created. I wanted desperately to be able to make music like that.",Brian May,On discovering Buddy Holly and the Crickets as a boy,AsItBeganBook,the-first-time-i-ever-heard-the-crickets-i-was-hooked-thei-brian-may
"I would listen to the songs and want to know everything - how the harmonies worked, why they worked, what made one harmony affect you in a certain way.",Brian May,On dissecting records as a teenager,AsItBeganBook,i-would-listen-to-the-songs-and-want-to-know-everything-ho-brian-may
"He collected anything! He had collections of Eagle comics, cheese labels, puzzles and matchbox tops - amongst other things!",Ruth May,"Brian's mother, recalling his childhood collecting habit",AsItBeganBook,he-collected-anything-he-had-collections-of-eagle-comics-c-ruth-may
"Those lessons took place at the back of our German class. I used to tape a paper fingerboard to my wrist, to simulate a guitar neck. Needless to say, Brian went on to pass his German O level, I didn't!",Dave Dilloway,"Schoolfriend, on Brian teaching him guitar",AsItBeganBook,those-lessons-took-place-at-the-back-of-our-german-class-i-dave-dilloway
"We used to set up two tape recorders - I would play lead guitar, not too well I might add, into one, and Brian would play the chords. Then we would play back those two tracks, and over them Brian would play my cheap and nasty home-made bass guitar, and I would hit anything within reach - hat boxes and the like - as drums.",Dave Dilloway,On early home recording sessions with Brian,AsItBeganBook,we-used-to-set-up-two-tape-recorders-i-would-play-lead-gui-dave-dilloway
"We all wore stuff that looked like army uniforms - we wanted a regimented look for some reason. It was such a small gig too, but we were so confident. We went down pretty well.",Tim Staffell,"On 1984's first gig, St Mary's Church Hall, 28 October 1964",AsItBeganBook,we-all-wore-stuff-that-looked-like-army-uniforms-we-wanted-tim-staffell
"All our gear broke down one night. The audience were getting restless, so I played a non-stop, half-hour drum solo to fill the gap until the equipment was fixed. I earned an extra ten bob for that!",Richard Thompson,"1984's drummer, on a gig going wrong",AsItBeganBook,all-our-gear-broke-down-one-night-the-audience-were-getting-richard-thompson
"Wow, his fingers look blurred they're going so fast!",Unnamed audience member,Reacting to Brian playing a fast guitar passage at the Molesey Boat Club (later revealed the record had been sped up in mixing),AsItBeganBook,wow-his-fingers-look-blurred-they-re-going-so-fast-unnamed-audience-member
It was like a scene out of a Wild West movie. There were bottles flying and chairs being smashed over people's heads. But the band played on!,Pete Edmunds,Describing a fight breaking out at a White Hart gig in Southall,AsItBeganBook,it-was-like-a-scene-out-of-a-wild-west-movie-there-were-bot-pete-edmunds
"Which way's the stage, man?",Jimi Hendrix,"Passing 1984 as they tried to sneak out to watch his set at Imperial College, 1967",AsItBeganBook,which-way-s-the-stage-man-jimi-hendrix
