Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
Queen release 'I Can Hear Music' under the pseudonym Larry Lurex,"Using the joke name 'Larry Lurex' (a send-up of Gary Glitter), Queen release a cover of the Beach Boys' 'I Can Hear Music', backed with the Goffin/King song 'Goin' Back', recorded at Trident Studios with Roy Thomas Baker producing.",1973-06,MonthYear,Release,35,VisualDocumentaryBook,queen-release-i-can-hear-music-under-the-pseudonym-larry-lurex-1973-06,
Freddie Mercury and Brian May guest on Eddie Howell's 'Man From Manhattan',"Brian May plays guitar and Freddie Mercury sings and plays piano on singer-songwriter Eddie Howell's single 'Man From Manhattan', recorded at Sarm East Studios.",1975-09,MonthYear,Recording,25,VisualDocumentaryBook,freddie-mercury-and-brian-may-guest-on-eddie-howell-s-man-from-manhattan-1975-09,
Roger Taylor sings backing vocals on Kansas's 'Vinyl Confessions',"Roger Taylor sings backing vocals on three tracks - 'Play The Game Tonight', 'Right Away' and 'Diamonds & Pearls' - on the American rock band Kansas's album Vinyl Confessions.",1982-08,MonthYear,Recording,25,VisualDocumentaryBook,roger-taylor-sings-backing-vocals-on-kansas-s-vinyl-confessions-1982-08,
Brian May co-produces Heavy Pettin's debut album 'Letting Loose',"Brian May co-produces (with Mack) the debut album by Scottish rock band Heavy Pettin', 'Letting Loose', recorded in London and Munich.",1983-07,MonthYear,Recording,25,VisualDocumentaryBook,brian-may-co-produces-heavy-pettin-s-debut-album-letting-loose-1983-07,
John Deacon plays bass on Man Friday and Jive Junior's 'Picking Up Sounds',John Deacon plays bass on 'Picking Up Sounds', a single by Man Friday and Jive Junior.,1983,YearOnly,Recording,20,VisualDocumentaryBook,john-deacon-plays-bass-on-man-friday-and-jive-junior-s-picking-up-sounds-1983,
Brian May guests on two Jeffrey Osborne tracks,"Brian May plays guitar on two Jeffrey Osborne tracks, 'Two Wrongs Don't Make A Right' and 'Stay With Me Tonight', recorded at Mad Hatter Studios in Los Angeles; the latter is released as a single.",1983,YearOnly,Recording,20,VisualDocumentaryBook,brian-may-guests-on-two-jeffrey-osborne-tracks-1983,
John Deacon records a song with Errol Brown,John Deacon records a song with Hot Chocolate singer Errol Brown.,1986-02,MonthYear,Recording,25,VisualDocumentaryBook,john-deacon-records-a-song-with-errol-brown-1986-02,
First International Queen Fan Club Convention held,"The first International Queen Fan Club Convention is held at Great Yarmouth; over 1,000 fans attend from as far afield as Australia and South America.",1986-04-25,ExactDate,SiteHistory,35,VisualDocumentaryBook,first-international-queen-fan-club-convention-held-1986-04-25,
A fan dies at Queen's Knebworth Park concert,"Queen's record-breaking Knebworth Park concert, the biggest of the Magic Tour, is marred by a small outbreak of violence in the 150,000-strong crowd and the death of a fan close to the stage.",1986-08-09,ExactDate,Concert,45,VisualDocumentaryBook,a-fan-dies-at-queen-s-knebworth-park-concert-1986-08-09,
Brian May produces comedy band Bad News's debut album,"Brian May produces the debut album by comedy heavy metal band Bad News (a spin-off from TV series The Young Ones, played by Rik Mayall, Ade Edmondson, Nigel Planer and Peter Richardson), which reaches No. 69 in the UK charts.",1986-10,MonthYear,Recording,25,VisualDocumentaryBook,brian-may-produces-comedy-band-bad-news-s-debut-album-1986-10,
Bad News release a cover of 'Bohemian Rhapsody' produced by Brian May,"Bad News (a comedy metal band spun off from The Young Ones) release a version of 'Bohemian Rhapsody' backed with 'Life With Brian', produced by Brian May; it reaches No. 44 in the UK singles chart.",1987-09-12,ExactDate,Release,25,VisualDocumentaryBook,bad-news-release-a-cover-of-bohemian-rhapsody-produced-by-brian-may-1987-09-12,
Brian May guests on Black Sabbath's 'Headless Cross' album,"Brian May records a guest guitar solo on the Black Sabbath track 'When Death Calls', from their album Headless Cross.",1989-04,MonthYear,Recording,25,VisualDocumentaryBook,brian-may-guests-on-black-sabbath-s-headless-cross-album-1989-04,
Vanilla Ice's 'Ice Ice Baby' (built on 'Under Pressure') hits UK number one,"US rapper Vanilla Ice's single 'Ice Ice Baby', built around the bassline from Queen and David Bowie's 'Under Pressure', reaches number one on the UK singles chart, having already topped the US chart.",1990-11-25,ExactDate,Other,40,VisualDocumentaryBook,vanilla-ice-s-ice-ice-baby-built-on-under-pressure-hits-uk-number-one-1990-11-25,
BBC televises hastily assembled Freddie Mercury tribute,"BBC1 broadcasts a hastily assembled 50-minute tribute to Freddie Mercury, introduced by a visibly distressed Elton John speaking off the cuff; it features scenes from Live Aid, Queen concerts spanning two decades, rare 1970s/80s interview footage, and the recently filmed 'Innuendo' video.",1991-11-25,ExactDate,TVRadio,45,VisualDocumentaryBook,bbc-televises-hastily-assembled-freddie-mercury-tribute-1991-11-25,
Freddie Mercury releases debut solo single 'Love Kills',"Freddie Mercury's first solo single, 'Love Kills', is released - a song written for Giorgio Moroder's soundtrack to the updated re-release of Fritz Lang's silent film Metropolis.",1984-09,MonthYear,Release,40,VisualDocumentaryBook,freddie-mercury-releases-debut-solo-single-love-kills-1984-09,
Freddie Mercury discusses his sexuality in The Sun,"The Sun newspaper publishes an interview in which Freddie Mercury is quoted discussing his sexuality; Freddie later says he was 'completely misquoted' and that the press wrote whatever they wanted about Queen.",1985-02,MonthYear,Other,30,VisualDocumentaryBook,freddie-mercury-discusses-his-sexuality-in-the-sun-1985-02,
'One Vision' is Queen's first genuinely four-way band co-write,"'One Vision', released in November 1985, marks the first time in the band's career that all four members collaborate as credited co-writers on a single.",1985-11,MonthYear,Release,30,VisualDocumentaryBook,one-vision-is-queens-first-genuinely-four-way-band-co-write-1985-11,
'The Complete Works' box set released,"Queen release 'The Complete Works', a limited-edition box set of all fourteen studio albums to date, digitally re-mastered and repackaged, plus a bonus album 'Complete Vision' collecting singles and B-sides.",1985-12-05,ExactDate,Release,35,VisualDocumentaryBook,the-complete-works-box-set-released-1985-12-05,
Queen publicly disavow apartheid and rule out a Sun City return,"After Sun City's entertainment director suggests a Queen return 'should not be ruled out' amid the Artists United Against Apartheid controversy, Queen issue a statement saying they have no plans to return to Sun City and have 'a total abhorrence of apartheid'.",1985-12-14,ExactDate,Other,35,VisualDocumentaryBook,queen-publicly-disavow-apartheid-and-rule-out-a-sun-city-return-1985-12-14,
