Fact,Category,SourceContext
"Brian May's home-built ""Red Special"" guitar cost around £8 in materials: the body is solid mahogany carved from the surround of a 200-year-old fireplace, and the tremolo unit's springs were salvaged from an old motorbike.",Equipment,VisualDocumentaryBook p.5
"At Ealing College of Art, Freddie Mercury's contemporaries included Pete Townshend of The Who, Ron Wood of The Faces/Rolling Stones, and Roger Ruskin Spear of the Bonzo Dog Doo-Dah Band.",Band History,VisualDocumentaryBook
"Before John Deacon, Queen reportedly went through six bass players in rapid succession, making Deacon the ""lucky seventh"".",Band History,VisualDocumentaryBook
"Two planned 1982 Queen stadium shows had to move venues because every portable chemical toilet in the UK was already booked for cities hosting Pope John Paul II's visit - the shows shifted to Leeds United's Elland Road and the Milton Keynes Bowl.",Concerts,VisualDocumentaryBook
"At the 1992 Freddie Mercury Tribute Concert, David Bowie closed his segment by reciting the Lord's Prayer on one knee, then led a one-off reunion of Spiders From Mars and Mott the Hoople musicians through 'All The Young Dudes'.",Concerts,VisualDocumentaryBook
"During a De Lane Lea/Sarm recording session in the mid-1970s, Sex Pistols bassist Sid Vicious reportedly wandered in and needled Freddie Mercury about ""bringing ballet to the masses"" - Freddie shot back that they were ""trying our best, dear"".",Band History,VisualDocumentaryBook
"To mark EMI International Records receiving the Queen's Award to Industry in 1978, the label pressed 300 copies of 'Bohemian Rhapsody' on Royal Purple vinyl.",Recording,VisualDocumentaryBook
"Film producer Dino de Laurentiis approached Queen to score his 1980 Flash Gordon remake - the band's first film soundtrack.",Film & Soundtracks,VisualDocumentaryBook
"Brian May's 1983 solo mini-album 'Star Fleet Project' grew out of an all-day studio jam with Eddie Van Halen and REO Speedwagon's Alan Gratzer.",Side Projects,VisualDocumentaryBook
"The 'Radio Ga Ga' video incorporates footage from Fritz Lang's 1927 silent film Metropolis, after Giorgio Moroder (who owned the rights) asked Queen for a song in exchange for using it.",Music Videos,VisualDocumentaryBook
"Queen were first approached about playing Live Aid by their touring keyboardist Spike Edney, who doubled as trombonist in Bob Geldof's band The Boomtown Rats.",Live Aid,VisualDocumentaryBook
"The 'One Vision' video shows the band filmed in the same head-and-shoulders studio setup they'd used for 'Bohemian Rhapsody' exactly ten years earlier.",Music Videos,VisualDocumentaryBook
